internship_title,company_name,location,start_date,duration,stipend
Talent Acquisition,Amara Raja Group,Hyderabad,Immediately,3 Months,"15,000"
Communication & Project Management,Teach For India,Hyderabad,Immediately,3 Months,"4,000"
Logistics And Operations,Delhivery,Mumbai,Immediately,3 Months,"8,000"
Event Management,Times Internet,Noida,Immediately,3 Months,"10,000"
Content Writing,LeadSquared,Bangalore,Immediately,3 Months,"20,000"
Environment Education Program (Mumbai),WWF-India,Mumbai,Immediately,3 Months,"10,000"
Business Development (Sales),Anarock Property Consultant Private Limited,Bangalore,Immediately,3 Months,"20,000"
Human Resources (HR),Zee Media Corporation Limited,Noida,Immediately,3 Months,"2,000"
Finance,CaratLane Trading Private Limited,Chennai,Immediately,3 Months,"15,000"
Customer Service,Ferns N Petals,Gurgaon,Not specified,3 Months,"15,000"
Advertising Sales(Business Development) - Kerala (Malayalam),ShareChat,Work From Home,Immediately,3 Months,"15,000"
Human Resources (HR),Agarwal Packers & Movers Limited,Delhi,Immediately,3 Months,"10,000"
Legal,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Mumbai,Immediately,3 Months,"15,000"
Sales,NoBroker Technologies Solutions Private Limited,Vadodara,Immediately,3 Months,"12,000"
Human Resources (HR),MAHANADI SPICES,Bilaspur,Immediately,3 Months,"20,000"
Fundraising,Marpu Foundation,Work From Home,Immediately,3 Months,
Fundraising,Marpu Foundation,Work From Home,Immediately,3 Months,
Recruitment,Marpu Foundation,Work From Home,Immediately,3 Months,
Human Resources (HR),Marpu Foundation,Work From Home,Immediately,3 Months,
Talent Acquisition,Marpu Foundation,Work From Home,Immediately,1 Week,
"New Client Aquisition, Key Accounts Management",Pepperfry Limited,Panvel,Immediately,1 Week,"8,000"
Talent Acquisition,Scaler Academy,Work From Home,Immediately,1 Week,"5,000"
Omni Sport Leadership - Hiking/Trekking,Decathlon,Mumbai,Immediately,1 Week,"15,000"
Business Development Management,Across The Globe (ATG),Work From Home,Immediately,1 Week,"1,000"
Data Entry With Marketing,Across The Globe (ATG),Work From Home,Immediately,1 Week,"1,000"
Social Work,Marpu Foundation,Work From Home,Immediately,1 Week,
Human Resources (HR),Jiva Ayurveda,Faridabad,Immediately,1 Week,"5,000"
Campus Ambassador,IIT Roorkee,Work From Home,Immediately,1 Week,
Content Writing,Xiaomi Technology India Private Limited,Bangalore,Immediately,1 Week,"20,000"
Operations,NoBroker Technologies Solutions Private Limited,Noida,Immediately,1 Week,"15,000"
Resource Management,Techolution,Hyderabad,Immediately,1 Week,"15,000"
Human Resources (HR),Zucol Group Of Companies,Jaipur,Immediately,1 Week,"10,000"
HR Operations,Freecharge Payments Technology Private Limited,Gurgaon,Immediately,1 Week,"15,000"
Guest Relation Operations,Apollo Hospitals,Navi Mumbai,Immediately,1 Week,"5,000"
Business Development (Sales),Decathlon Sport India,Ahmedabad,Immediately,1 Week,"10,000"
Event Coordination,Aam Aadmi Party,Delhi,Immediately,1 Week,
Graphic Design,Educate Girls,Mumbai,Immediately,1 Week,"12,000"
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,1 Week,
Induction Representation,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,
Business Development (Sales),Urban Company,Bhubaneswar,Immediately,1 Week,"20,000"
Human Resources (HR),Community Action Through Motivation Program,Naya Raipur,Immediately,1 Week,"3,000"
Field Sales,LIC,Ahmedabad,Immediately,1 Week,"5,000"
Business Development (Sales),Decathlon Sports India,Ahmedabad,Immediately,1 Week,"10,000"
City Management,Urban Company,Mumbai,Immediately,1 Week,"25,000"
Social Media Management,Life Fitness,Work From Home,Immediately,1 Week,"1,000"
Human Resources (HR),Paradise Food Court Private Limited,Hyderabad,Immediately,1 Week,"5,000"
Video Editor,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,
Human Resources (HR),APAC Financial Services Private Limited,Mumbai,Immediately,1 Week,"8,000"
Social Media Marketing,Sportskeeda,Work From Home,Immediately,1 Week,"10,000"
Omni Sports Leader,Decathlon,Thane,Immediately,1 Week,"10,000"
Graphic Design,CIIE Initiatives (IIM Ahmedabad),Ahmedabad,Immediately,1 Week,"10,000"
Graphic Design,CIIE Initiatives (IIM Ahmedabad),Ahmedabad,Immediately,1 Week,"10,000"
Business Development (Sales),Urban Company,Bangalore,Immediately,1 Week,"25,000"
Graphic Design,Saregama India Limited,Chennai,Immediately,1 Week,"10,000"
Android App Development,Star Health & Allied Insurance Company Limited,Vrindavan,Immediately,1 Week,"5,000"
Talent Acquisition,Techolution,Work From Home,Immediately,1 Week,"15,000"
Telecalling,Air India SATS Airport Services Private Limited,Delhi,Immediately,1 Week,"15,000"
Business Development (Sales),Urban Company,Mumbai,Immediately,1 Week,"25,000"
Operations,PcsInfinity,Delhi,Immediately,3 Months,"10,000"
Company Secretary (CS),Justdial,Mumbai,Immediately,1 Week,"12,000"
Human Resources (HR),Media.net,Bangalore,Immediately,1 Week,"15,000"
Content Writing,OfBusiness,Gurgaon,Immediately,4 Months,"20,000"
Talent Acquisition,Ozone Overseas Private Limited,Gurgaon,Immediately,4 Months,"15,000"
Webinar Operations & Strategy,Simplilearn Solutions Private Limited,Bangalore,Immediately,4 Months,"15,000"
