internship_title,company_name,location,start_date,duration,stipend
Operation,Mariox Software Private Limited,Noida,Immediately,6 Months,"30,000"
Logistics And Operations,GoMechanic,Gurgaon,Immediately,6 Months,"10,000"
Marketing,GoMechanic,Gurgaon,Immediately,6 Months,"12,000"
Business Development (Sales),GoMechanic,Chandigarh,Immediately,6 Months,"10,000"
Business Development (Female),Requin Solutions Private Limited,Jaipur,Immediately,6 Months,"14,000"
Human Resources (HR),Webtonic Technologies Private Limited,Navi Mumbai,Immediately,6 Months,"5,000"
Human Resources (HR),Guruji Astro,Jaipur,Immediately,5 Months,"9,000"
Interior Design,9 Pointers Tech Private Limited,Jaipur,Immediately,5 Months,"15,000"
Graphic Design,Careers360,Gurgaon,Immediately,5 Months,"20,000"
Event Management,Blue Sparrow Science Party,Mumbai,Immediately,5 Months,"1,000"
Business Development (Sales),Zedex Info Private Limited,Mumbai,Immediately,5 Months,"10,000"
Graphic Design,Pepper Money,Mumbai,Immediately,5 Months,"10,000"
Video Editing,FlexiFunnels,Dehradun,Immediately,5 Months,"25,000"
Campus Ambassador,EHAM Technologies,Work From Home,Immediately,5 Months,
Recruitment,Shubham Varshney,Meerut,Immediately,5 Months,"2,000"
Graphic Design,Adbizit,Mumbai,Immediately,5 Months,"12,000"
Social Media Marketing,Akrati Jewels Incorporation,Jaipur,Immediately,5 Months,"10,000"
Social Media Marketing,Limeless Media,Gurgaon,Immediately,5 Months,"8,000"
Business Development (Sales),Internshala,Gurgaon,Immediately,5 Months,"18,000"
Marketing,Cynergi,Mumbai,Immediately,5 Months,"5,000"
Human Resources (HR),Relinns Technologies,Mohali,Immediately,5 Months,"8,000"
Personal Assistant,Gigde Global Solutions Private Limited,Ghaziabad,Immediately,5 Months,"12,000"
Digital Marketing,Akrati Jewels Incorporation,Jaipur,Immediately,5 Months,"10,000"
CEO Assistant,Gigde Global Solutions Private Limited,Ghaziabad,Immediately,5 Months,"12,000"
Motion Graphics,KathaVersse Media Network Private Limited,Mumbai,Immediately,5 Months,"10,000"
HR,Wayspire Ed-Tech Private Limited,Gurgaon,Immediately,5 Months,"7,000"
Civil Engineering (Hydraulic/Water Resources),Infraplan Engineering Services Private Limited,Kolhapur,Immediately,5 Months,"10,000"
Email Marketing,Zeppstr,Bangalore,Immediately,5 Months,"6,000"
Video Making/Editing,KathaVersse Media Network Private Limited,Mumbai,Immediately,5 Months,"10,000"
Social Media,Marcamor Consulting,Hyderabad,Immediately,5 Months,"5,000"
Business Development (Sales),Blue Rose Publishers,Delhi,Immediately,5 Months,"22,000"
Business Development (Sales),Blue Rose Publishers,Delhi,Immediately,5 Months,"22,000"
Content Writing,EasyEat AI,Gurgaon,Immediately,5 Months,"15,000"
Field Sales,Vitta Chrome India Private Limited,Mumbai,Immediately,5 Months,"15,000"
Social Media Marketing,Zeppstr,Bangalore,Immediately,5 Months,"6,000"
Sales,ZocoNut,Delhi,Immediately,5 Months,"8,000"
Operations,Able Jobs,Bangalore,Immediately,5 Months,"12,000"
Editorial Assistance,Blue Rose Publishers,Noida,Immediately,5 Months,"16,000"
Event Management,Seven Seas Hospitality,Delhi,Immediately,5 Months,"5,000"
Operations,Able Jobs,Bangalore,Immediately,5 Months,"12,000"
Video Making/Editing,Zeppstr,Bangalore,Immediately,5 Months,"6,000"
Marketing,Clipbait Media Private Limited,Bangalore,Immediately,5 Months,"7,500"
Business Development,Marcamor Consulting,Hyderabad,Immediately,5 Months,"5,000"
Content Writing,Zeppstr,Bangalore,Immediately,5 Months,"10,000"
Business Development,Epicminds Information Technology,Bangalore,Immediately,5 Months,"10,000"
Marketing,SkilloVilla Technologies Private Limited,Bangalore,Immediately,5 Months,"15,000"
Operations,Rentkar-Switch To Share,Bangalore,Immediately,5 Months,"12,000"
E-commerce Operations,Palk Street,Hyderabad,Immediately,5 Months,"15,000"
Influencer Marketing,Flipside Media Works,Mumbai,Immediately,5 Months,"10,000"
Business Development (Sales),Zeppstr,Bangalore,Immediately,5 Months,"12,000"
Social Media Marketing,Marcamor Consulting,Hyderabad,Immediately,5 Months,"5,000"
Marketing Specialist,UrjaBox Power Technologies Private Limited,Delhi,Immediately,5 Months,"10,000"
E-commerce Operations,A Big Indian Story,Pune,Immediately,5 Months,"10,000"
Video Making/Editing,Wherehouse.io,Gurgaon,Immediately,5 Months,"20,000"
Social Media Marketing,Stax Media,Delhi,Immediately,5 Months,"10,000"
Marketing,Rizzle,Hyderabad,Immediately,5 Months,"10,000"
Search Engine Optimization (SEO),Zeppstr,Bangalore,Immediately,5 Months,"10,000"
EXPO - Project Coordination,Audyogik Vyavsay Prashikshan Va Margdarshan Sanstha,Mumbai,Immediately,5 Months,"3,000"
Human Resources (HR),Punt Partners,Mumbai,Immediately,5 Months,"10,000"
Social Media Marketing,Ramp Asia,Delhi,Immediately,5 Months,"18,000"
Marketing Lead,Recipeat,Bangalore,Immediately,5 Months,"18,000"
Content Writing,GS1India,Delhi,Immediately,5 Months,"15,000"
Creative Design,FlytBase Labs,Pune,Immediately,5 Months,"25,000"
Accounting And Bookkeeping,Shubham Varshney,Meerut,Immediately,5 Months,"2,000"
Accounting And Bookkeeping,Shubham Varshney,Meerut,Immediately,5 Months,"2,000"
Business Development (Sales),Recipeat,Bangalore,Immediately,5 Months,"16,000"
Visual Communication,FlytBase Labs,Pune,Immediately,5 Months,"30,000"
Motion Graphics Design,FlytBase Labs,Pune,Immediately,5 Months,"30,000"
Telesales,Trully Capital Fintech Private Limited,Pune,Immediately,5 Months,"6,000"
Human Resources (HR),Marcamor Consulting,Hyderabad,Immediately,5 Months,"5,000"
Graphic Design,E2E Recycling Business Private Limited,Bangalore,Immediately,5 Months,"10,000"
Social Media Marketing,Pepmedia Services,Mumbai,Immediately,5 Months,"10,000"
Social Media Marketing,KathaVersse Media Network Private Limited,Mumbai,Immediately,5 Months,"10,000"
HR,Error Technologies,Hyderabad,Immediately,5 Months,"15,000"
Graphic Design,Confluencr,Bangalore,Immediately,5 Months,"15,000"
Content Writing,KathaVersse Media Network Private Limited,Mumbai,Immediately,5 Months,"10,000"
Human Resources (HR),MAG Finserv,Pune,Immediately,5 Months,"10,000"
Content Writing,IRA Consulting,Mumbai,Immediately,5 Months,"7,500"
UI/UX Design,Bilateral Solutions Private Limited,Mandi,Immediately,5 Months,"15,000"
Graphic Design,Organic Smokes,Delhi,Immediately,5 Months,"8,000"
Graphic Design,Zeppstr,Bangalore,Immediately,5 Months,"6,000"
E-commerce Operations,Longetivity Labs Private Limited,Chennai,Immediately,5 Months,"18,000"
Embedded & IoT Development,9 Pointers Tech Private Limited,Jaipur,Immediately,5 Months,"6,000"
Customer Delight,Energy Alternatives India,Chennai,Immediately,5 Months,"20,000"
Climate Storytelling,Energy Alternatives India,Chennai,Immediately,5 Months,"20,000"
Solid Works 3D Printing,Bilateral Solutions Private Limited,Mandi,Immediately,5 Months,"10,000"
Auditing And Accounting,Zeppstr,Bangalore,Immediately,5 Months,"10,000"
HR Recruitment,SkilloVilla Technologies Private Limited,Bangalore,Immediately,5 Months,"20,000"
Finance,Punt Partners,Delhi,Immediately,6 Months,"15,000"
QA Engineering,Ayurveda House Private Limited,Delhi,Immediately,6 Months,"10,000"
Subject Matter Expert - Cyber Security,Requin Solutions Private Limited,Jaipur,Immediately,6 Months,"12,000"
Cyber Security,Internshala,Gurgaon,Immediately,6 Months,"18,000"
Data Entry Executive,Newtral.io,Bangalore,Immediately,6 Months,"10,000"
Customer Success,Radical Health-Tech Private Limited,Mumbai,Immediately,6 Months,"15,000"
Financial Analysis,Zean Lithos And Company Private Limited,Work From Home,Immediately,6 Months,"9,000"
Virtual Volunteering,NayePankh Foundation,Work From Home,Immediately,6 Months,
Video Making/Editing,Peppermint Communications Private Limited,Ulhasnagar,Immediately,6 Months,"15,000"
Subject Matter Expert (SME),House Of Couton Private Limited,Work From Home,Immediately,6 Months,"30,000"
Computer Teaching,Sarvam Foundation,Gurgaon,Immediately,6 Months,"5,000"
Robotics Embedded Engineering,Bilateral Solutions Private Limited,Mandi,Immediately,6 Months,"10,000"
AI Technology,Clipbait Media Private Limited,Bangalore,Immediately,6 Months,"10,000"
Equity & Derivatives Trading,SDSR Consultancy Services Private Limited,Kolkata,Immediately,6 Months,"15,000"
IT Infra/Devops,Labchild Solutions,Hyderabad,Immediately,6 Months,"2,000"
Crowdfunding,InAmigos Foundation,Work From Home,Immediately,6 Months,
Human Resources (HR),Shubham Varshney,Meerut,Immediately,6 Months,"2,000"
Business Development(field sales),SaFa Technologies,Bokaro,Immediately,6 Months,"4,000"
Business Development (Sales),Edugenskill,Work From Home,Immediately,6 Months,"1,000"
Sales Consultant,Edugenskill,Work From Home,Immediately,6 Months,"1,100"
Business Development (Sales),Edugenskill,Work From Home,Immediately,6 Months,"1,000"
Sales And Marketing,Edugenskill,Work From Home,Immediately,6 Months,"1,000"
Sales,Edugenskill,Work From Home,Immediately,6 Months,"1,000"
Sales,Edugenskill,Work From Home,Immediately,6 Months,"1,000"
Business Development (Sales),Edugenskill,Work From Home,Immediately,6 Months,"1,000"
Business Development (Sales),Edugenskill,Work From Home,Immediately,6 Months,"1,000"
Business Development,Biztegy Analytics,Work From Home,Immediately,6 Months,"5,000"
Sales,Edugenskill,Work From Home,Immediately,6 Months,"1,000"
Sales,Edugenskill,Work From Home,Immediately,6 Months,"1,000"
Sales,Edugenskill,Work From Home,Immediately,6 Months,"1,000"
Fundraising Operations,NayePankh Foundation,Work From Home,Immediately,6 Months,
Business Development (Sales),Areno Innovations Private Limited,Work From Home,Immediately,6 Months,"1,000"
Business Development (Sales),Edugenskill,Work From Home,Immediately,6 Months,"1,000"
Social Media Research,FlexiFunnels,Dehradun,Immediately,6 Months,"10,000"
Social Media Management,Iksha Labs Private Limited,Gurgaon,Immediately,6 Months,"20,000"
YouTube Creation,Guruji Astro,Jaipur,Immediately,6 Months,"7,500"
Search Engine Optimization (SEO),Fabulous Media Private Limited,Gurgaon,Immediately,6 Months,"5,000"
Content Writing (Academic),Requin Solutions Private Limited,Jaipur,Immediately,6 Months,"12,000"
Sales,Investment Ideas,Mumbai,Immediately,6 Months,"5,000"
Campus Ambassador,SLPP Consultants Private Limited,Work From Home,Immediately,6 Months,
Voice Over Artist - Marati/Gujarathi/Assame With Editing Skills,Nettv4u,Work From Home,Immediately,6 Months,"5,000"
Market Research,9Heaven,Delhi,Immediately,3 Months,"3,000"
Business Development (Sales),Edugenskill,Work From Home,Immediately,3 Months,"1,000"
Empowering Social Entrepreneurs,NayePankh Foundation,Work From Home,Immediately,3 Months,
PR & Marketing,Niyogi Books,Delhi,Immediately,3 Months,"10,000"
Guest Relations Management,Ukiyo Stays,Mumbai,Immediately,3 Months,"8,000"
Business Development (Sales),Ukiyo Stays,Mumbai,Immediately,3 Months,
Customer Service Executive,Nytarra Naturals,Delhi,Immediately,3 Months,"7,000"
Content Management,Rizzle,Hyderabad,Immediately,3 Months,"15,000"
Script Writing (Non-Fiction),Purani Dili Talkies LLP,Delhi,Immediately,3 Months,"10,000"
Copywriting And Reel Creation,Internshala,Gurgaon,Immediately,3 Months,"18,000"
Operations,Solution Graph,Work From Home,Immediately,3 Months,"2,000"
E-commerce Executive,Ayurveda House Private Limited,Delhi,Immediately,3 Months,"6,000"
Operations,SuperTails,Bangalore,Immediately,3 Months,"20,000"
Marketing,Aero Armour,Kolkata,Immediately,3 Months,"10,000"
Inside Sales,Filosha Infotech Private Limited,Bangalore,Immediately,3 Months,"10,000"
Social Media Marketing,Jalan Distributors & Company,Kolkata,Immediately,3 Months,"7,000"
Business Development,Pro India,Work From Home,Immediately,3 Months,"1,000"
Search Engine Optimization (SEO),RankItRight Media,Bangalore,Immediately,3 Months,"15,000"
Social Media Marketing,9Heaven,Delhi,Immediately,3 Months,"5,000"
Strategy And Development,OpeninApp,Bangalore,Immediately,3 Months,"25,000"
Telecalling,Virgo Communications & Exhibitions Private Limited,Bangalore,Immediately,3 Months,"15,000"
Category Management,SuperTails,Bangalore,Immediately,3 Months,"20,000"
Human Resources (HR),Aaptatt,Gurgaon,Immediately,3 Months,"5,000"
Customer Support,ChangeJar Technologies Private Limited,Bangalore,Immediately,3 Months,"12,000"
Digital Marketing,RechargeZap,Delhi,Immediately,3 Months,"7,000"
Graphic Design,DeadAnt Media Private Limited,Mumbai,Immediately,3 Months,"10,000"
Marketing,SkilloVilla Technologies Private Limited,Bangalore,Immediately,3 Months,"25,000"
Management (Work From Office),Gloval International,Mumbai,Immediately,3 Months,"12,000"
Social Work,InAmigos Foundation,Work From Home,Immediately,3 Months,
Social Media Community Building,Hyperreality Technologies,Bangalore,Immediately,3 Months,"20,000"
Search Engine Optimization (SEO),OpeninApp,Bangalore,Immediately,3 Months,"25,000"
Sales CRM,3 Productions Wedding Planning & D??cor LLP,Bangalore,Immediately,3 Months,"15,000"
Content Writing,RankItRight Media,Bangalore,Immediately,3 Months,"25,000"
Content Writing,RankItRight Media,Bangalore,Immediately,3 Months,"25,000"
Digital Marketing,Evenly Clinic,Bangalore,Immediately,3 Months,"8,000"
Fundraising,Muskurahat Foundation,Work From Home,Immediately,3 Months,"5,000"
Youtube Management,SVF Entertainment Private Limited,Kolkata,Immediately,3 Months,"10,000"
Digital Marketing,Able Jobs,Bangalore,Immediately,3 Months,"12,000"
Crowdfunding,Muskurahat Foundation,Work From Home,Immediately,3 Months,
Social (Fundraising),Muskurahat Foundation,Work From Home,Immediately,3 Months,"10,000"
Operations,GEMA Education Technology Private Limited,Work From Home,Immediately,3 Months,"1,000"
Business Development (Sales),{igebra.ai}math++,Hyderabad,Immediately,6 Months,"10,000"
Celebrity Onboarding,Tring,Mumbai,Immediately,6 Months,"10,000"
Mental Health Helpline Crisis Counseling,Vandrevala Foundation,Work From Home,Immediately,6 Months,
Volunteering,Muskurahat Foundation,Work From Home,Immediately,6 Months,"10,000"
Social Media Sales,Remole Products Private Limited,Hyderabad,Immediately,6 Months,"18,000"
Interior Design,Atelier Astil,Bangalore,Immediately,6 Months,"10,000"
Recruitment,Simplify Solutions,Guntur,Immediately,6 Months,"5,000"
E-commerce Executive,Axe Consultancy And Security Services LLC,Work From Home,Immediately,6 Months,"5,000"
Marketing And Sales,Gloval International,Mumbai,Immediately,6 Months,"15,000"
Video Editing & Voiceover,Warewe Consultancy Private Limited,Work From Home,Immediately,6 Months,"5,000"
Project Management/Operations Management,3 Productions Wedding Planning & D??cor LLP,Bangalore,Immediately,6 Months,"15,000"
WordPress Development,Zeppstr,Bangalore,Immediately,6 Months,"10,000"
Business Development (Sales),Brihat Infotech Private Limited,Work From Home,Immediately,6 Months,"2,000"
Social Entrepreneurship,Pawzz,Work From Home,Immediately,6 Months,"10,000"
Lead Generation,Hex Wireless Private Limited,Work From Home,Immediately,6 Months,"10,000"
Virtual Charity Drive,Pawzz,Work From Home,Immediately,6 Months,"10,000"
Nest Js And Backend Development,Trivy Technologies Private Limited,Noida,Immediately,6 Months,"5,000"
Operations,Pawzz,Gurgaon,Immediately,6 Months,"12,000"
Teaching,Scope For Change,Delhi,Immediately,6 Months,"5,000"
Business Development (Sales),OyeLabs,Work From Home,Immediately,6 Months,"20,000"
Human Resources (HR),Ayurveda House Private Limited,Delhi,Immediately,6 Months,"12,000"
Subject Matter Expert (Operations Management),Innovalance Learning Systems,Work From Home,Immediately,6 Months,"17,000"
Crowdfunding,Pawzz,Work From Home,Immediately,6 Months,"10,000"
Online Marketing,Epicminds Information Technology,Work From Home,Immediately,6 Months,"1,000"
Strategy,Ozibook Tech Solutions Private Limited,Work From Home,Immediately,6 Months,"1,000"
Talent Acquisition,Filosha Infotech Private Limited,Bangalore,Immediately,6 Months,"12,000"
Legal,Gloval International,Mumbai,Immediately,6 Months,"10,000"
Law/Legal,Robocapital,Mumbai,Immediately,6 Months,"7,000"
US IT Recruitment,Epicminds Information Technology,Bangalore,Immediately,6 Months,"10,000"
Marketing & Growth,Vurse,Work From Home,Immediately,6 Months,"4,000"
History (Subject Matter Expert),HaZZten,Work From Home,Immediately,6 Months,"20,000"
HR (Talent Acquisition),Addnode India Private Limited,Pune,Immediately,6 Months,"10,000"
Graphic Design,Seven Seas Hospitality,Delhi,Immediately,6 Months,"10,000"
Human Resources (HR),Careers360,Delhi,Immediately,6 Months,"5,000"
iOS App Development,Xeta Analytics Private Limited,Work From Home,Immediately,6 Months,"8,000"
Social Cause,Pawzz,Work From Home,Immediately,6 Months,"1,500"
Fundraising Volunteering,Odisha Development Management Programme (ODMP),Work From Home,Immediately,6 Months,"5,000"
Videography & Photography,Esquare Lifestyle,Bangalore,Immediately,6 Months,"12,000"
Meme Creation,Koncept Klear Edtech Private Limited,Work From Home,Immediately,6 Months,"5,000"
Sales,Edugenskill,Work From Home,Immediately,6 Months,"1,000"
Lead Generation,Qriocity Ventures Private Limited,Work From Home,Immediately,6 Months,"15,000"
Lead Generation,Qriocity Ventures Private Limited,Work From Home,Immediately,6 Months,"15,000"
Sales,Anmol Kohli,Work From Home,Immediately,6 Months,"5,000"
Business Development (Sales),Yog Love,Work From Home,Immediately,6 Months,"6,000"
Infographics - Assame/Gujarathi/Punjabi,Nettv4u,Work From Home,Immediately,6 Months,
Stock Market Research,Goaler Web Solutions,Work From Home,Immediately,6 Months,"2,000"
Investor Management - Trainee,Tyke Technology Private Limited,Mumbai,Immediately,6 Months,"6,000"
Sales,Relinns Technologies,Mohali,Immediately,6 Months,"8,000"
Payroll,BookMyShow,Mumbai,Immediately,6 Months,"7,500"
Market Survey Vishakapatnam To Vijayawada,Petfolk,Rajampet,Immediately,6 Months,"10,000"
Search Engine Optimization (SEO),FavTutor,Work From Home,Immediately,6 Months,"3,000"
Party Styling And Content Creation,Bunny Bash Events & Rentals,Panjim,Immediately,6 Months,"5,000"
Front End Development,Trivy Technologies Private Limited,Noida,Immediately,6 Months,"2,000"
Business Development (Sales),Edugenskill,Work From Home,Immediately,6 Months,"1,000"
Teaching (Scratch Coding),GEMA Education Technology Private Limited,Work From Home,Immediately,6 Months,"2,000"
Operations,One Root,Thalavadi,Immediately,6 Months,"15,000"
Customer Success,Relinns Technologies,Mohali,Immediately,6 Months,"10,000"
Grant/Investment Pitch Deck Making (VCs & Angels),DataSkience OPC Private Limited,Work From Home,Immediately,6 Months,"5,000"
Digital Marketing (SMM),Skylark Overseas Education,Work From Home,Immediately,6 Months,"5,000"
Business Development,Relinns Technologies,Mohali,Immediately,6 Months,"8,000"
Content Writing,Bilateral Solutions Private Limited,Mandi,Immediately,6 Months,"15,000"
FundFair Operations,Pawzz,Work From Home,Immediately,6 Months,"10,000"
Social Media Marketing,Epicminds Information Technology,Work From Home,Immediately,6 Months,"1,000"
Social Work,Pawzz,Work From Home,Immediately,6 Months,"1,500"
Event Management,Peppermint Communications Private Limited,Ulhasnagar,Immediately,6 Months,"12,000"
Link Building,Addictive Media,Work From Home,Immediately,6 Months,"7,000"
Content Presenting - Business,DataSkience OPC Private Limited,Work From Home,Immediately,6 Months,"5,000"
Business Development,Pawzz,Work From Home,Immediately,6 Months,"1,500"
Teaching Arabic,GEMA Education Technology Private Limited,Work From Home,Immediately,6 Months,"2,000"
Creative Operations,Ozibook Tech Solutions Private Limited,Work From Home,Immediately,6 Months,"1,000"
Social Media Marketing,TechWhoop,Work From Home,Immediately,6 Months,"3,001"
Video Editing,Ozibook Tech Solutions Private Limited,Work From Home,Immediately,6 Months,"1,000"
Market Research,Agile Parking Solutions Private Limited,Jabalpur,Immediately,6 Months,"18,000"
Digital Marketing,Relinns Technologies,Mohali,Immediately,6 Months,"8,000"
Volunteering,Pawzz,Work From Home,Immediately,6 Months,"10,000"
UPSC Creative Content Curation,Lawtech,Work From Home,Immediately,6 Months,"6,000"
Coding - Teaching,GEMA Education Technology Private Limited,Work From Home,Immediately,6 Months,"2,000"
Fashion Merchandising,Peppermint Communications Private Limited,Ulhasnagar,Immediately,6 Months,"12,000"
Fashion Merchandising,Peppermint Communications Private Limited,Ulhasnagar,Immediately,6 Months,"12,000"
LinkedIn Marketing And Sales,Edugenskill,Work From Home,Immediately,6 Months,"1,000"
Search Engine Optimization (SEO),Brihat Infotech Private Limited,Work From Home,Immediately,6 Months,"3,000"
Content Development (English),Vandana Jain,Bangalore,Immediately,6 Months,
Content Writing,Ayurveda House Private Limited,Delhi,Immediately,3 Months,"10,000"
Business Development (Sales),DevTown,Bangalore,Immediately,3 Months,"10,000"
Digital Marketing,LetsDressUp,Gurgaon,Immediately,3 Months,"18,000"
Digital Marketing,OyeLabs,Work From Home,Immediately,3 Months,"10,000"
Field Sales,HUElite,Delhi,Immediately,3 Months,"14,000"
Content Writing,Red Cube Digital Media Private Limited,Delhi,Immediately,3 Months,"7,000"
Graphic Design,"Kyupid (London, United Kingdom)",Work From Home,Immediately,3 Months,"7,500"
Business Development (Sales),Organic Smokes,Delhi,Immediately,3 Months,"10,000"
Architecture,3 Productions Wedding Planning & D??cor LLP,Bangalore,Immediately,3 Months,"15,000"
Copywriting,Ayurveda House Private Limited,Delhi,Immediately,3 Months,"15,000"
Fashion Communications,Peppermint Communications Private Limited,Bhiwandi,Immediately,3 Months,"12,000"
Market Research,Darukaa ESG,Mumbai,Immediately,3 Months,"15,000"
Subject Matter Expert (SME) Chemistry,Solvitude,Work From Home,Immediately,3 Months,"30,000"
Digital Marketing,3 Productions Wedding Planning & D??cor LLP,Bangalore,Immediately,3 Months,"15,000"
Social Media Marketing,Ayurveda House Private Limited,Delhi,Immediately,3 Months,"8,000"
Social Media Marketing,Red Cube Digital Media Private Limited,Delhi,Immediately,3 Months,"5,000"
Influencer Marketing,Confluencr,Work From Home,Immediately,3 Months,"10,000"
Visual Design,Internshala,Gurgaon,Immediately,3 Months,"18,000"
Performance Marketing,Ayurveda House Private Limited,Delhi,Immediately,3 Months,"12,000"
Graphic Design,LetsDressUp,Gurgaon,Immediately,3 Months,"15,000"
Client Success,ODN Digital Services Private Limited,Delhi,Immediately,3 Months,"10,000"
Hindi Content Writing,Trade Brains,Bangalore,Immediately,3 Months,"12,000"
Fashion Technology/Merchandising (NIFT),Everstylish Lifestyle Private Limited,Gurgaon,Immediately,3 Months,"15,000"
Fashion Merchandising (NIFT),Everstylish Lifestyle Private Limited,Gurgaon,Immediately,3 Months,"15,000"
Fashion Design (NIFT),Everstylish Lifestyle Private Limited,Gurgaon,Immediately,3 Months,"15,000"
Social Media Creative Writing,Ayurveda House Private Limited,Delhi,Immediately,3 Months,"10,000"
Instagram Ad Copywriting,Ayurveda House Private Limited,Delhi,Immediately,3 Months,
On-Ground Operations,Ballzo India,Ghaziabad Sub-District,Immediately,3 Months,"10,000"
Business Development (Sales - Ortho/Medical),Joints Health Private Limited,Delhi,Immediately,3 Months,"6,000"
MIS,Accredian,Gurgaon,Immediately,3 Months,"15,000"
Digital Marketing & Prompt Development,CC Yard Private Limited,Bangalore,Immediately,3 Months,"10,000"
Taxation,PreTaxO,Hyderabad,Immediately,3 Months,"8,000"
Fashion Communication (NIFT),Everstylish Lifestyle Private Limited,Gurgaon,Immediately,3 Months,"15,000"
Human Resources (HR),CloudBird Digital Private Limited,Noida,Immediately,3 Months,"7,000"
Graphic Design,Ayurveda House Private Limited,Delhi,Immediately,3 Months,"12,000"
Social Media Marketing,DGguru Learning Solutions Private Limited (MentorKart),Bareilly,Immediately,3 Months,"10,000"
Market Research,Agile Parking Solutions Private Limited,Pune,Immediately,3 Months,"18,000"
Market Research,Agile Parking Solutions Private Limited,Bangalore,Immediately,3 Months,"18,000"
Operational Support (Generalist),Sarvam Foundation,Work From Home,Immediately,3 Months,"1,000"
Marketing,Simplify Solutions,Hyderabad,Immediately,3 Months,"8,000"
Social Research,Makerble,Work From Home,Immediately,6 Months,"15,000"
Supply Chain And Logistics Operations,Ziegler Aerospace,Hyderabad,Immediately,6 Months,"8,000"
Instagram Reels Creation,Persist Ventures,Bangalore,Immediately,6 Months,"12,500"
Human Resources (HR),FynTune Solution Private Limited,Thane,Immediately,6 Months,"12,000"
Human Resources (HR),FynTune Solution Private Limited,Thane,Immediately,6 Months,"12,000"
Marketing Operations,Tocco,Mumbai,Immediately,6 Months,"9,000"
Telecounseling,Simplify Solutions,Kolkata,Immediately,6 Months,"15,000"
Business Development,Worklooper Private Limited,Delhi,Immediately,6 Months,"7,000"
Subject Matter Expert (Physics),Paradise Edu Services,Work From Home,Immediately,6 Months,"12,000"
Coordination,TerraBlue XT,Hyderabad,Immediately,6 Months,"10,000"
Business Development (Sales),DIGIGIRI ENTERPRISES,Sonipat,Immediately,6 Months,"3,000"
Business Development (Sales),Branch Karma,Mira Bhayandar,Immediately,6 Months,"5,000"
Educational Consulting,Score Academy,Dehradun,Immediately,6 Months,"5,000"
Fashion Cordination,Peppermint Communications Private Limited,Pune,Immediately,6 Months,"12,000"
Field Sales,Valluri Naga Venkata Sai Avinash Chowdary,Vijayawada,Immediately,6 Months,"3,500"
Corporate Sales,Dextero Business Solution Private Limited,Thane,Immediately,6 Months,"8,000"
Business Development (Sales),Sportyzo Private Limited,Gurgaon,Immediately,6 Months,"8,000"
Bussiness Development,Wayspire Ed-Tech Private Limited,Gurgaon,Immediately,6 Months,"18,000"
Registration Calling,FlexiFunnels,Dehradun,Immediately,6 Months,"10,000"
Reminder Calling,FlexiFunnels,Dehradun,Immediately,6 Months,"10,000"
Business Development (Sales),BR Mart Connect Projects Private Limited,Miyapur,Immediately,6 Months,"20,000"
Admission Counseling,VSVK Pro Education Private Limited,Mira Bhayandar,Immediately,6 Months,"2,000"
Subject Matter Expert (Pure Statistics),Paradise Edu Services,Work From Home,Immediately,6 Months,"12,000"
Event Details Communication,FlexiFunnels,Dehradun,Immediately,6 Months,"10,000"
Data Reporting,Accredian,Gurgaon,Immediately,6 Months,"15,000"
Business Development (Sales),Caresoft Systems Private Limited,Mira Bhayandar,Immediately,6 Months,"9,000"
Video Content Creation,Commando Kennels,Hyderabad,Immediately,6 Months,"15,000"
Brand Management,Letsbiz,Ahmedabad,Immediately,6 Months,"3,000"
Digital Marketing,QuadB Tech,Ludhiana,Immediately,6 Months,"15,000"
Business Development (Sales),CODING JUNIORS TECH PRIVATE LIMITED,Ahmedabad,Immediately,6 Months,"10,000"
Business Development (Sales) & Telecalling,Zigsaw Consultancy,Noida,Immediately,6 Months,"12,000"
Business Development (Sales),CyberFrat,Mumbai,Immediately,6 Months,"20,000"
Telecalling,Unimonks,Delhi,Immediately,6 Months,"16,000"
Social Media Marketing,Desi Mavericks,Bangalore,Immediately,6 Months,"10,000"
Business Development (Sales),Erikka India,Noida,Immediately,6 Months,"15,000"
General Management,Aaptatt,Gurgaon,Immediately,6 Months,"3,000"
Content Writing,Bytesview Analytics Private Limited,Noida,Immediately,6 Months,"10,000"
Field Sales,Ask Fin Guru,Dombivli,Immediately,6 Months,"7,000"
Patron Engagement Executive,Peppermint Communications Private Limited,Bhiwandi,Immediately,6 Months,"12,000"
Video Editing,Chizrinz Infoway Private Limited,Oachira,Immediately,6 Months,"15,000"
Video Editing,QuadB Tech,Ludhiana,Immediately,6 Months,"5,000"
Digital Marketing,Branch Karma,Mira Bhayandar,Immediately,6 Months,"7,000"
Digital Marketing,Talenico HR Services Private Limited,Noida,Immediately,6 Months,"15,000"
Digital Marketing,Warewe Consultancy Private Limited,Gurgaon,Immediately,6 Months,"12,000"
Digital Marketing,IG Drones,Bhubaneswar,Immediately,6 Months,"10,000"
Content Creation,Money Making Trading Courses,Thane,Immediately,6 Months,"8,000"
Digital Marketing,Caresoft Systems Private Limited,Mira Bhayandar,Immediately,6 Months,"9,000"
Digital Marketing,GRE IMMIGRATIONS,Dehradun,Immediately,6 Months,"10,000"
Business Development (Sales),Keep Moviing Logistics Private Limited,Bhubaneswar,Immediately,6 Months,"4,000"
